Designator,Mid X,Mid Y,Rotation,Layer
C1,13.00,19.25,90.00,T
C10,69.20,9.20,180.00,T
C100,40.90,47.65,0.00,T
C101,40.70,46.50,0.00,T
C102,23.25,29.55,90.00,T
C103,24.50,29.40,90.00,T
C104,9.60,24.70,90.00,T
C105,2.00,24.25,0.00,T
C106,30.00,23.50,0.00,T
C107,32.00,18.00,90.00,T
C108,32.00,15.50,0.00,T
C109,33.30,27.85,90.00,T
C11,29.10,48.70,270.00,T
C110,18.75,23.95,90.00,T
C111,16.25,23.95,90.00,T
C112,10.50,21.75,180.00,T
C113,33.70,24.50,270.00,T
C114,34.30,27.85,90.00,T
C115,5.95,9.50,270.00,T
C116,9.50,5.25,270.00,T
C117,14.25,30.50,90.00,T
C12,28.50,58.00,0.00,T
C13,28.50,57.05,0.00,T
C14,13.30,53.25,270.00,T
C15,12.50,57.00,180.00,T
C16,10.80,50.70,0.00,T
C17,30.20,54.85,0.00,T
C18,17.75,62.75,180.00,T
C19,28.25,54.35,270.00,T
C2,5.75,13.00,180.00,T
C20,37.50,41.30,90.00,T
C21,32.80,42.00,90.00,T
C22,26.50,28.00,180.00,T
C23,32.00,35.50,180.00,T
C24,33.50,33.50,0.00,T
C25,26.50,32.00,180.00,T
C26,33.00,31.00,270.00,T
C27,34.50,32.00,270.00,T
C28,41.00,34.45,0.00,T
C29,34.50,35.00,90.00,T
C3,5.75,11.50,180.00,T
C30,65.50,8.00,90.00,T
C31,63.80,7.30,90.00,T
C32,41.00,32.55,0.00,T
C33,48.00,47.20,180.00,T
C34,45.50,43.25,180.00,T
C35,56.00,42.30,180.00,T
C36,67.60,41.50,0.00,T
C37,56.00,39.20,180.00,T
C38,67.60,44.50,0.00,T
C39,63.80,35.20,270.00,T
C4,11.50,5.25,270.00,T
C40,52.00,40.75,270.00,T
C41,60.80,46.80,90.00,T
C42,56.00,41.25,0.00,T
C43,59.80,51.45,270.00,T
C44,63.80,46.80,90.00,T
C45,56.00,40.20,180.00,T
C46,66.20,35.20,270.00,T
C47,62.30,34.70,0.00,T
C48,60.80,35.20,270.00,T
C49,62.00,50.95,180.00,T
C5,19.75,11.50,0.00,T
C50,62.30,47.30,0.00,T
C51,62.30,35.70,0.00,T
C52,62.30,46.30,0.00,T
C53,73.00,12.25,270.00,T
C54,73.00,24.25,270.00,T
C55,73.00,36.25,270.00,T
C56,73.00,48.25,270.00,T
C57,73.00,60.25,270.00,T
C58,76.00,12.25,270.00,T
C59,76.00,24.25,270.00,T
C6,15.50,5.25,270.00,T
C60,76.00,36.25,270.00,T
C61,76.00,48.25,270.00,T
C62,76.00,60.25,270.00,T
C63,79.00,12.25,270.00,T
C64,79.00,24.25,270.00,T
C65,79.00,36.25,270.00,T
C66,79.00,48.25,270.00,T
C67,79.00,60.25,270.00,T
C68,82.50,14.75,0.00,T
C69,82.50,26.75,0.00,T
C7,34.00,50.50,90.00,T
C70,82.50,38.75,0.00,T
C71,82.50,50.75,0.00,T
C72,82.50,62.75,0.00,T
C73,80.20,9.40,0.00,T
C74,80.20,21.40,0.00,T
C75,80.20,33.40,0.00,T
C76,80.20,45.40,0.00,T
C77,80.20,57.40,0.00,T
C78,88.30,59.30,180.00,T
C79,88.30,47.30,180.00,T
C8,12.50,5.25,270.00,T
C80,80.70,53.80,180.00,T
C81,80.70,41.80,180.00,T
C82,80.70,29.80,180.00,T
C83,80.70,17.80,180.00,T
C84,80.70,5.80,180.00,T
C85,88.30,35.30,180.00,T
C86,88.30,23.30,180.00,T
C87,88.30,11.30,180.00,T
C88,26.25,23.50,90.00,T
C89,32.90,47.25,180.00,T
C9,51.90,31.70,0.00,T
C90,25.25,23.50,90.00,T
C91,27.40,23.75,90.00,T
C92,8.25,22.30,270.00,T
C93,40.70,48.80,0.00,T
C94,6.90,22.30,270.00,T
C95,7.75,31.00,90.00,T
C96,22.00,29.40,90.00,T
C97,30.00,22.50,0.00,T
C98,4.25,30.75,90.00,T
C99,2.00,27.25,180.00,T
D1,1.80,13.30,270.00,T
D4,85.50,14.75,0.00,T
D5,85.50,26.75,0.00,T
D6,85.50,38.75,0.00,T
D7,85.50,50.75,0.00,T
D8,85.50,62.75,0.00,T
D9,2.25,21.75,0.00,T
F1,20.00,30.50,90.00,T
FB1,37.50,38.50,270.00,T
FB2,27.00,30.00,90.00,T
FB3,48.00,43.25,180.00,T
FB4,52.10,47.20,0.00,T
FB5,52.10,48.60,0.00,T
FB6,61.80,52.20,0.00,T
L1,10.00,56.00,270.00,T
L10,73.00,50.25,270.00,T
L11,73.00,62.25,270.00,T
L12,74.50,14.75,0.00,T
L13,74.50,26.75,0.00,T
L14,74.50,38.75,0.00,T
L15,74.50,50.75,0.00,T
L16,74.50,62.75,0.00,T
L17,76.00,14.25,270.00,T
L18,76.00,26.25,270.00,T
L19,76.00,38.25,270.00,T
L2,71.50,14.75,0.00,T
L20,76.00,50.25,270.00,T
L21,76.00,62.25,270.00,T
L22,77.50,14.75,0.00,T
L23,77.50,26.75,0.00,T
L24,77.50,38.75,0.00,T
L25,77.50,50.75,0.00,T
L26,77.50,62.75,0.00,T
L27,79.00,14.25,270.00,T
L28,79.00,26.25,270.00,T
L29,79.00,38.25,270.00,T
L3,71.50,26.75,0.00,T
L30,79.00,50.25,270.00,T
L31,79.00,62.25,270.00,T
L32,80.50,14.75,0.00,T
L33,80.50,26.75,0.00,T
L34,80.50,38.75,0.00,T
L35,80.50,50.75,0.00,T
L36,80.50,62.75,0.00,T
L37,26.75,16.00,270.00,T
L38,12.50,25.00,270.00,T
L4,71.50,38.75,0.00,T
L5,71.50,50.75,0.00,T
L6,71.50,62.75,0.00,T
L7,73.00,14.25,270.00,T
L8,73.00,26.25,270.00,T
L9,73.00,38.25,270.00,T
R1,13.50,5.25,270.00,T
R10,12.50,55.00,0.00,T
R12,26.50,62.75,180.00,T
R13,41.00,31.55,180.00,T
R14,59.10,46.80,270.00,T
R15,58.10,46.80,90.00,T
R16,58.80,35.20,90.00,T
R17,59.80,35.20,90.00,T
R18,56.50,44.80,90.00,T
R19,56.00,43.30,0.00,T
R2,21.80,7.50,90.00,T
R20,56.50,36.70,270.00,T
R21,56.00,38.20,0.00,T
R22,49.50,41.25,180.00,T
R23,16.50,5.25,270.00,T
R24,51.00,40.75,90.00,T
R25,17.50,5.25,270.00,T
R26,66.00,33.70,180.00,T
R27,64.00,33.70,0.00,T
R28,67.10,39.20,225.00,T
R29,67.20,36.20,90.00,T
R3,22.80,7.50,90.00,T
R30,70.30,41.10,225.00,T
R31,68.60,39.40,45.00,T
R32,69.00,44.20,270.00,T
R33,69.00,42.00,90.00,T
R34,64.80,46.80,270.00,T
R35,66.30,46.80,270.00,T
R36,83.90,7.60,0.00,T
R37,83.90,19.60,0.00,T
R38,83.90,31.60,0.00,T
R39,83.90,43.60,0.00,T
R4,3.10,13.00,90.00,T
R40,83.90,55.60,0.00,T
R41,91.75,8.75,180.00,T
R42,91.75,20.75,180.00,T
R43,91.75,32.75,180.00,T
R44,91.75,44.75,180.00,T
R45,91.75,56.75,180.00,T
R46,6.25,30.75,90.00,T
R47,5.25,30.75,270.00,T
R48,19.75,13.50,180.00,T
R49,31.00,18.00,270.00,T
R5,14.50,5.25,270.00,T
R50,4.90,22.75,270.00,T
R51,2.00,28.25,0.00,T
R52,30.00,18.00,270.00,T
R53,30.00,20.00,270.00,T
R54,2.00,25.25,180.00,T
R55,2.00,26.25,0.00,T
R56,2.00,23.25,180.00,T
R57,12.15,30.80,270.00,T
R58,10.60,31.30,0.00,T
R59,15.90,19.75,90.00,T
R6,20.80,7.50,270.00,T
R60,17.40,19.25,180.00,T
R7,5.75,14.50,180.00,T
R8,23.80,7.50,270.00,T
R9,28.50,59.00,180.00,T
U11,88.30,9.40,270.00,T
U12,88.30,21.40,270.00,T
U13,88.30,33.40,270.00,T
U14,88.30,45.40,270.00,T
U15,88.30,57.40,270.00,T
U2,51.40,33.60,90.00,T
U3,32.10,50.50,180.00,T
